date,type,value,series
2020-10-01,e1,-3.0,growth_qoq
2020-10-01,e6,-3.4,growth_yoy
2020-10-01,e5,-1.9,growth_yoy
2020-10-01,e3,-11.7,growth_yoy
2020-10-01,e2,2.9,growth_yoy
2020-10-01,e1,-3.1,growth_yoy
2020-10-01,e0,-3.2,growth_yoy
2020-10-01,e3,70924.0,abs
2020-10-01,e2,55801.0,abs
2020-10-01,e1,208258.0,abs
2020-10-01,e0,358736.0,abs
2020-10-01,e6,7.0,growth_qoq
2020-10-01,e5,3.3,growth_qoq
2020-10-01,e6,201273.0,abs
2020-10-01,e5,226383.0,abs
2020-10-01,e4,-1357.0,abs
2020-10-01,e3,-2.7,growth_qoq
2020-10-01,e0,1.9,growth_qoq
2020-10-01,e2,28.0,growth_qoq
2021-01-01,e6,213951.516,abs
2021-01-01,e5,233326.08,abs
2021-01-01,e4,-1975.944,abs
2021-01-01,e3,73678.574,abs
2021-01-01,e2,43154.554,abs
2021-01-01,e1,209680.631,abs
2021-01-01,e6,12.2,growth_yoy
2021-01-01,e3,-3.1,growth_yoy
2021-01-01,e6,6.3,growth_qoq
2021-01-01,e0,-0.2,growth_yoy
2021-01-01,e2,6.2,growth_yoy
2021-01-01,e5,3.1,growth_qoq
2021-01-01,e1,-1.7,growth_yoy
2021-01-01,e2,-22.7,growth_qoq
2021-01-01,e1,0.7,growth_qoq
2021-01-01,e0,-4.1,growth_qoq
2021-01-01,e0,343912.379,abs
2021-01-01,e3,3.9,growth_qoq
2021-01-01,e5,11.8,growth_yoy
2021-04-01,e5,240971.427,abs
2021-04-01,e0,-1.7,growth_qoq
2021-04-01,e6,3.1,growth_qoq
2021-04-01,e5,3.3,growth_qoq
2021-04-01,e6,220628.472,abs
2021-04-01,e3,71514.528,abs
2021-04-01,e2,43925.276,abs
2021-04-01,e1,185891.59,abs
2021-04-01,e0,338160.18,abs
2021-04-01,e1,-11.3,growth_qoq
2021-04-01,e2,1.8,growth_qoq
2021-04-01,e3,-2.9,growth_qoq
2021-04-01,e6,35.3,growth_yoy
2021-04-01,e5,37.0,growth_yoy
2021-04-01,e3,16.6,growth_yoy
2021-04-01,e2,10.6,growth_yoy
2021-04-01,e1,11.6,growth_yoy
2021-04-01,e0,16.3,growth_yoy
2021-04-01,e4,16485.831,abs
2021-07-01,e4,2949.1,abs
2021-07-01,e3,65137.744,abs
2021-07-01,e3,-10.6,growth_yoy
2021-07-01,e5,243357.313,abs
2021-07-01,e2,44363.486,abs
2021-07-01,e6,224190.353,abs
2021-07-01,e1,205803.992,abs
2021-07-01,e2,1.0,growth_qoq
2021-07-01,e6,19.2,growth_yoy
2021-07-01,e5,11.1,growth_yoy
2021-07-01,e0,337421.281,abs
2021-07-01,e2,1.8,growth_yoy
2021-07-01,e1,-4.1,growth_yoy
2021-07-01,e0,-4.2,growth_yoy
2021-07-01,e6,1.6,growth_qoq
2021-07-01,e5,1.0,growth_qoq
2021-07-01,e3,-8.9,growth_qoq
2021-07-01,e0,-0.2,growth_qoq
2021-07-01,e1,10.7,growth_qoq
2021-10-01,e1,215726.57,abs
2021-10-01,e0,371388.111,abs
2021-10-01,e1,4.8,growth_qoq
2021-10-01,e2,32.5,growth_qoq
2021-10-01,e3,5.8,growth_qoq
2021-10-01,e5,9.5,growth_qoq
2021-10-01,e6,7.8,growth_qoq
2021-10-01,e0,3.5,growth_yoy
2021-10-01,e1,3.6,growth_yoy
2021-10-01,e0,10.1,growth_qoq
2021-10-01,e3,-2.8,growth_yoy
2021-10-01,e4,3290.159,abs
2021-10-01,e5,266439.587,abs
2021-10-01,e6,241746.052,abs
2021-10-01,e3,68911.572,abs
2021-10-01,e2,5.3,growth_yoy
2021-10-01,e6,20.1,growth_yoy
2021-10-01,e5,17.7,growth_yoy
2021-10-01,e2,58766.275,abs
2022-01-01,e3,73907.16,abs
2022-01-01,e2,46366.513,abs
2022-01-01,e1,221515.578,abs
2022-01-01,e5,262088.291,abs
2022-01-01,e5,-1.6,growth_qoq
2022-01-01,e3,7.2,growth_qoq
2022-01-01,e2,-21.1,growth_qoq
2022-01-01,e1,2.7,growth_qoq
2022-01-01,e0,-2.7,growth_qoq
2022-01-01,e6,249119.544,abs
2022-01-01,e4,6576.791,abs
2022-01-01,e6,3.1,growth_qoq
2022-01-01,e1,5.6,growth_yoy
2022-01-01,e0,5.1,growth_yoy
2022-01-01,e0,361334.789,abs
2022-01-01,e2,7.4,growth_yoy
2022-01-01,e6,16.4,growth_yoy
2022-01-01,e5,12.3,growth_yoy
2022-01-01,e3,0.3,growth_yoy
2022-04-01,e6,262966.175,abs
2022-04-01,e5,278053.315,abs
2022-04-01,e4,12404.453,abs
2022-04-01,e3,75620.892,abs
2022-04-01,e2,45417.829,abs
2022-04-01,e1,220898.618,abs
2022-04-01,e0,369428.932,abs
2022-04-01,e5,15.4,growth_yoy
2022-04-01,e5,6.1,growth_qoq
2022-04-01,e3,2.3,growth_qoq
2022-04-01,e2,-2.0,growth_qoq
2022-04-01,e1,-0.3,growth_qoq
2022-04-01,e0,2.2,growth_qoq
2022-04-01,e0,9.2,growth_yoy
2022-04-01,e1,18.8,growth_yoy
2022-04-01,e2,3.4,growth_yoy
2022-04-01,e3,5.7,growth_yoy
2022-04-01,e6,5.6,growth_qoq
2022-04-01,e6,19.2,growth_yoy
2022-07-01,e0,386819.905,abs
2022-07-01,e6,272689.105,abs
2022-07-01,e5,296768.04,abs
2022-07-01,e4,4038.895,abs
2022-07-01,e3,73751.892,abs
2022-07-01,e1,237194.587,abs
2022-07-01,e0,14.6,growth_yoy
2022-07-01,e6,3.7,growth_qoq
2022-07-01,e5,6.7,growth_qoq
2022-07-01,e6,21.6,growth_yoy
2022-07-01,e5,21.9,growth_yoy
2022-07-01,e3,13.2,growth_yoy
2022-07-01,e2,7.6,growth_yoy
2022-07-01,e1,15.3,growth_yoy
2022-07-01,e3,-2.5,growth_qoq
2022-07-01,e2,47755.597,abs
2022-07-01,e0,4.7,growth_qoq
2022-07-01,e1,7.4,growth_qoq
2022-07-01,e2,5.1,growth_qoq
2022-10-01,e6,259754.087,abs
2022-10-01,e5,289963.582,abs
2022-10-01,e5,8.8,growth_yoy
2022-10-01,e4,1486.335,abs
2022-10-01,e2,61408.235,abs
2022-10-01,e1,230755.346,abs
2022-10-01,e0,398919.128,abs
2022-10-01,e6,-4.7,growth_qoq
2022-10-01,e5,-2.3,growth_qoq
2022-10-01,e0,3.1,growth_qoq
2022-10-01,e2,28.6,growth_qoq
2022-10-01,e1,-2.7,growth_qoq
2022-10-01,e6,7.4,growth_yoy
2022-10-01,e0,7.4,growth_yoy
2022-10-01,e1,7.0,growth_yoy
2022-10-01,e2,4.5,growth_yoy
2022-10-01,e3,8.9,growth_yoy
2022-10-01,e3,1.8,growth_qoq
2022-10-01,e3,75059.718,abs
2023-01-01,e0,-4.3,growth_qoq
2023-01-01,e1,1.9,growth_qoq
2023-01-01,e2,-25.5,growth_qoq
2023-01-01,e3,3.3,growth_qoq
2023-01-01,e5,-11.5,growth_qoq
2023-01-01,e6,-8.3,growth_qoq
2023-01-01,e4,5162.957,abs
2023-01-01,e0,381856.973,abs
2023-01-01,e1,235054.722,abs
2023-01-01,e2,45735.707,abs
2023-01-01,e3,77552.719,abs
2023-01-01,e5,256591.295,abs
2023-01-01,e6,238240.427,abs
2023-01-01,e0,5.7,growth_yoy
2023-01-01,e1,6.1,growth_yoy
2023-01-01,e2,-1.4,growth_yoy
2023-01-01,e6,-4.4,growth_yoy
2023-01-01,e5,-2.1,growth_yoy
2023-01-01,e3,4.9,growth_yoy
2023-04-01,e2,3.0,growth_qoq
2023-04-01,e1,-2.1,growth_qoq
2023-04-01,e0,-0.7,growth_qoq
2023-04-01,e0,2.7,growth_yoy
2023-04-01,e1,4.2,growth_yoy
2023-04-01,e2,3.8,growth_yoy
2023-04-01,e3,5.5,growth_yoy
2023-04-01,e5,-8.9,growth_yoy
2023-04-01,e6,-9.1,growth_yoy
2023-04-01,e3,2.9,growth_qoq
2023-04-01,e5,-1.3,growth_qoq
2023-04-01,e6,0.3,growth_qoq
2023-04-01,e6,239071.537,abs
2023-04-01,e5,253187.264,abs
2023-04-01,e4,8097.239,abs
2023-04-01,e3,79803.808,abs
2023-04-01,e2,47121.321,abs
2023-04-01,e1,230148.236,abs
2023-04-01,e0,379286.332,abs
2023-07-01,e2,4.7,growth_yoy
2023-07-01,e1,246838.197,abs
2023-07-01,e0,398768.199,abs
2023-07-01,e4,5943.204,abs
2023-07-01,e5,261236.075,abs
2023-07-01,e6,242701.484,abs
2023-07-01,e0,3.1,growth_yoy
2023-07-01,e3,5.0,growth_yoy
2023-07-01,e0,5.1,growth_qoq
2023-07-01,e1,7.3,growth_qoq
2023-07-01,e2,6.2,growth_qoq
2023-07-01,e3,-3.0,growth_qoq
2023-07-01,e5,3.2,growth_qoq
2023-07-01,e6,1.5,growth_qoq
2023-07-01,e1,4.1,growth_yoy
2023-07-01,e6,-11.0,growth_yoy
2023-07-01,e5,-12.0,growth_yoy
2023-07-01,e2,50019.562,abs
2023-07-01,e3,77432.646,abs
2023-10-01,e6,-2.2,growth_yoy
2023-10-01,e5,-7.9,growth_yoy
2023-10-01,e3,6.1,growth_yoy
2023-10-01,e2,5.7,growth_yoy
2023-10-01,e1,4.2,growth_yoy
2023-10-01,e0,2.8,growth_yoy
2023-10-01,e6,253994.403,abs
2023-10-01,e3,79667.728,abs
2023-10-01,e4,12200.478,abs
2023-10-01,e5,267070.01,abs
2023-10-01,e6,4.7,growth_qoq
2023-10-01,e5,2.2,growth_qoq
2023-10-01,e3,2.9,growth_qoq
2023-10-01,e2,29.8,growth_qoq
2023-10-01,e0,410230.92,abs
2023-10-01,e2,64931.421,abs
2023-10-01,e1,240355.685,abs
2023-10-01,e0,2.9,growth_qoq
2023-10-01,e1,-2.6,growth_qoq
2024-01-01,e2,-24.4,growth_qoq
2024-01-01,e1,2.4,growth_qoq
2024-01-01,e0,-3.0,growth_qoq
2024-01-01,e6,-1.3,growth_qoq
2024-01-01,e5,267461.44,abs
2024-01-01,e4,685.391,abs
2024-01-01,e3,85013.916,abs
2024-01-01,e2,49086.374,abs
2024-01-01,e0,397802.368,abs
2024-01-01,e5,0.1,growth_qoq
2024-01-01,e6,250634.301,abs
2024-01-01,e3,6.7,growth_qoq
2024-01-01,e1,246189.548,abs
2024-01-01,e1,4.7,growth_yoy
2024-01-01,e2,7.3,growth_yoy
2024-01-01,e3,9.6,growth_yoy
2024-01-01,e5,4.2,growth_yoy
2024-01-01,e6,5.2,growth_yoy
2024-01-01,e0,4.2,growth_yoy
2024-04-01,e6,4.0,growth_qoq
2024-04-01,e5,2.7,growth_qoq
2024-04-01,e3,4.6,growth_qoq
2024-04-01,e2,-2.3,growth_qoq
2024-04-01,e1,-1.2,growth_qoq
2024-04-01,e2,47958.217,abs
2024-04-01,e6,260550.048,abs
2024-04-01,e3,88956.924,abs
2024-04-01,e5,274710.123,abs
2024-04-01,e4,7320.756,abs
2024-04-01,e1,243276.342,abs
2024-04-01,e6,9.0,growth_yoy
2024-04-01,e5,8.5,growth_yoy
2024-04-01,e3,11.5,growth_yoy
2024-04-01,e2,1.8,growth_yoy
2024-04-01,e1,5.7,growth_yoy
2024-04-01,e0,5.9,growth_yoy
2024-04-01,e0,1.0,growth_qoq
2024-04-01,e0,401672.315,abs
2024-07-07,e6,274244.597,abs
2024-07-07,e3,89306.13,abs
2024-07-07,e4,1960.239,abs
2024-07-07,e5,291804.858,abs
2024-07-07,e3,0.4,growth_qoq
2024-07-07,e5,6.2,growth_qoq
2024-07-07,e6,5.3,growth_qoq
2024-07-07,e2,53013.09,abs
2024-07-07,e1,258514.184,abs
2024-07-07,e1,6.3,growth_qoq
2024-07-07,e2,10.5,growth_qoq
2024-07-07,e0,4.7,growth_qoq
2024-07-07,e6,13.0,growth_yoy
2024-07-07,e5,11.7,growth_yoy
2024-07-07,e3,15.3,growth_yoy
2024-07-07,e2,6.0,growth_yoy
2024-07-07,e1,4.7,growth_yoy
2024-07-07,e0,5.4,growth_yoy
2024-07-07,e0,420353.905,abs
2024-10-01,e5,-0.5,growth_qoq
2024-10-01,e0,2.4,growth_qoq
2024-10-01,e1,-2.1,growth_qoq
2024-10-01,e2,27.3,growth_qoq
2024-10-01,e3,-0.3,growth_qoq
2024-10-01,e6,-2.0,growth_qoq
2024-10-01,e2,67505.818,abs
2024-10-01,e0,430476.817,abs
2024-10-01,e5,8.7,growth_yoy
2024-10-01,e3,89038.862,abs
2024-10-01,e4,-481.256,abs
2024-10-01,e5,290282.363,abs
2024-10-01,e6,268888.352,abs
2024-10-01,e3,11.8,growth_yoy
2024-10-01,e1,253019.383,abs
2024-10-01,e6,5.9,growth_yoy
2024-10-01,e2,4.0,growth_yoy
2024-10-01,e1,5.3,growth_yoy
2024-10-01,e0,4.9,growth_yoy
2025-01-01,e1,5.0,growth_yoy
2025-01-01,e5,4.1,growth_yoy
2025-01-01,e6,3.1,growth_yoy
2025-01-01,e6,-3.9,growth_qoq
2025-01-01,e3,9.7,growth_yoy
2025-01-01,e2,4.3,growth_yoy
2025-01-01,e4,-7795.713,abs
2025-01-01,e3,93243.344,abs
2025-01-01,e0,415337.606,abs
2025-01-01,e1,258562.901,abs
2025-01-01,e2,51200.647,abs
2025-01-01,e0,-3.5,growth_qoq
2025-01-01,e1,2.2,growth_qoq
2025-01-01,e2,-24.2,growth_qoq
2025-01-01,e3,4.7,growth_qoq
2025-01-01,e5,-4.1,growth_qoq
2025-01-01,e6,258359.618,abs
2025-01-01,e5,278486.045,abs
2025-01-01,e0,4.4,growth_yoy
2025-04-01,e5,1.2,growth_qoq
2025-04-01,e0,1.0,growth_qoq
2025-04-01,e1,-0.9,growth_qoq
2025-04-01,e6,7.5,growth_qoq
2025-04-01,e2,-0.4,growth_qoq
2025-04-01,e5,2.6,growth_yoy
2025-04-01,e3,7.0,growth_qoq
2025-04-01,e0,419420.24,abs
2025-04-01,e1,256125.048,abs
2025-04-01,e2,51007.323,abs
2025-04-01,e3,99725.656,abs
2025-04-01,e4,8683.748,abs
2025-04-01,e5,281729.703,abs
2025-04-01,e6,6.6,growth_yoy
2025-04-01,e3,12.1,growth_yoy
2025-04-01,e2,6.4,growth_yoy
2025-04-01,e1,5.3,growth_yoy
2025-04-01,e0,4.4,growth_yoy
2025-04-01,e6,277851.24,abs
2025-07-01,e3,95881.078,abs
2025-07-01,e2,56763.071,abs
2025-07-01,e3,7.4,growth_yoy
2025-07-01,e4,-1834.134,abs
2025-07-01,e5,5.4,growth_qoq
2025-07-01,e1,271562.379,abs
2025-07-01,e5,296897.355,abs
2025-07-01,e0,443208.395,abs
2025-07-01,e6,-0.6,growth_qoq
2025-07-01,e2,7.1,growth_yoy
2025-07-01,e0,5.4,growth_yoy
2025-07-01,e1,5.0,growth_yoy
2025-07-01,e0,5.7,growth_qoq
2025-07-01,e1,6.0,growth_qoq
2025-07-01,e2,11.3,growth_qoq
2025-07-01,e3,-3.9,growth_qoq
2025-07-01,e6,0.7,growth_yoy
2025-07-01,e5,1.7,growth_yoy
2025-07-01,e6,276061.353,abs
2025-10-01,e1,-1.9,growth_qoq
2025-10-01,e2,28.4,growth_qoq
2025-10-01,e3,1.5,growth_qoq
2025-10-01,e0,3.3,growth_qoq
2025-10-01,e5,301695.516,abs
2025-10-01,e6,7.9,growth_yoy
2025-10-01,e5,3.9,growth_yoy
2025-10-01,e3,9.3,growth_yoy
2025-10-01,e2,8.0,growth_yoy
2025-10-01,e1,5.3,growth_yoy
2025-10-01,e0,6.3,growth_yoy
2025-10-01,e5,1.6,growth_qoq
2025-10-01,e0,457680.927,abs
2025-10-01,e1,266319.871,abs
2025-10-01,e2,72895.887,abs
2025-10-01,e3,97329.094,abs
2025-10-01,e4,9534.904,abs
2025-10-01,e6,290094.346,abs
2025-10-01,e6,5.1,growth_qoq
