date,gini,state,poverty,district,income_mean,income_median,expenditure_mean
2022-01-01,0.44869,Sarawak,20.9,Sarikei,5440,3528,3078
2022-01-01,0.43131,Sabah,10.3,Kota Kinabalu,8388,5957,4427
2022-01-01,0.42499,Sabah,27.8,Kota Belud,4949,3429,2791
2022-01-01,0.41883,Sabah,49.9,Kota Marudu,4031,2677,2951
2022-01-01,0.41379,Kelantan,12.0,Machang,4987,3429,3267
2022-01-01,0.40603,Sarawak,18.1,Lawas,4476,3183,2934
2022-01-01,0.40406,Kedah,13.8,Kuala Muda,5624,4200,3840
2022-01-01,0.39895,Sabah,37.7,Beluran,4501,3131,2301
2022-01-01,0.3989,Perak,16.3,Hulu Perak,4891,3467,2889
2022-01-01,0.39889,Kelantan,22.4,Kuala Krai,3798,2763,2853
2022-01-01,0.39516,Sarawak,8.9,Sri Aman,4881,3704,3071
2022-01-01,0.39413,Johor,6.1,Muar,7572,5724,4740
2022-01-01,0.39312,Sarawak,19.6,Selangau,4128,3005,2798
2022-01-01,0.39247,Selangor,2.4,Gombak,13523,10180,6673
2022-01-01,0.39224,Sabah,28.9,Kinabatangan,5543,4162,2394
2022-01-01,0.39198,Selangor,1.6,Petaling,12760,9618,7721
2022-01-01,0.39084,Perak,13.0,Kuala Kangsar,5176,3813,3488
2022-01-01,0.39074,Perak,11.1,Perak Tengah,5956,4564,3744
2022-01-01,0.3904,Perak,14.8,Hilir Perak,5203,4199,3386
2022-01-01,0.38918,Sarawak,32.5,Daro,4368,3373,2997
2022-01-01,0.3881,Sabah,14.4,Tawau,6315,4783,3118
2022-01-01,0.38801,Sabah,23.5,Lahad Datu,5995,4457,3346
2022-01-01,0.38637,Sarawak,14.0,Mukah,5962,4623,3615
2022-01-01,0.38573,Sarawak,24.9,Kanowit,3711,2648,2940
2022-01-01,0.3857,Sabah,52.7,Pitas,3406,2329,2562
2022-01-01,0.38399,Kelantan,10.5,Kota Bharu,5693,4330,3886
2022-01-01,0.38301,Melaka,3.7,Melaka Tengah,8593,6557,6015
2022-01-01,0.37972,Pulau Pinang,0.7,Timur Laut,8727,6714,5890
2022-01-01,0.3796,W.P. Kuala Lumpur,1.4,W.P. Kuala Lumpur,13325,10234,7823
2022-01-01,0.37796,Kelantan,15.9,Pasir Puteh,4712,3453,3525
2022-01-01,0.37757,Terengganu,4.1,Kemaman,8381,6425,4978
2022-01-01,0.37742,Kelantan,17.9,Tanah Merah,4177,2991,3247
2022-01-01,0.37729,Pulau Pinang,2.4,Seberang Perai Tengah,8056,6220,5008
2022-01-01,0.37551,Sarawak,9.1,Kuching,7588,5968,4687
2022-01-01,0.37495,Sabah,25.4,Ranau,5270,4058,2894
2022-01-01,0.3743,Kelantan,12.1,Bachok,4811,3625,3282
2022-01-01,0.37413,Sarawak,10.2,Sibu,6645,5248,4366
2022-01-01,0.37387,Sarawak,31.2,Julau,3548,2652,2842
2022-01-01,0.37081,Johor,6.9,Tangkak,7093,5622,4198
2022-01-01,0.36993,Perak,13.3,Batang Padang,5178,3953,3710
2022-01-01,0.36898,Sabah,34.7,Kudat,4049,2994,3080
2022-01-01,0.36885,Sarawak,20.8,Matu,4362,3354,2811
2022-01-01,0.3678,W.P. Putrajaya,0.1,W.P. Putrajaya,13473,10056,8897
2022-01-01,0.36775,Sabah,33.3,Kalabakan,4938,3931,2019
2022-01-01,0.36652,Kelantan,13.5,Tumpat,4741,3749,3831
2022-01-01,0.36644,Sarawak,20.6,Kapit,4053,2902,3315
2022-01-01,0.36609,Sabah,25.8,Tuaran,5166,3921,3133
2022-01-01,0.36543,Kelantan,43.8,Kecil Lojing,3153,2630,2720
2022-01-01,0.36465,Perak,9.2,Larut Dan Matang,5400,4029,3798
2022-01-01,0.36419,Perak,8.7,Kerian,5276,3996,3615
2022-01-01,0.3622,Kelantan,9.0,Pasir Mas,4602,3508,3225
2022-01-01,0.36177,Sarawak,19.5,Maradong,4117,3259,2674
2022-01-01,0.3613,Sarawak,12.9,Marudi,5373,4234,2557
2022-01-01,0.36109,Perak,12.4,Bagan Datuk,5160,4076,3150
2022-01-01,0.36093,Johor,5.1,Pontian,6913,5616,4535
2022-01-01,0.36026,Sarawak,8.3,Bau,5621,4735,3581
2022-01-01,0.36024,Kelantan,18.5,Gua Musang,4473,3342,3625
2022-01-01,0.36014,Sabah,22.1,Sipitang,5479,4182,3093
2022-01-01,0.35956,Pulau Pinang,3.1,Seberang Perai Selatan,7472,6231,4665
2022-01-01,0.35953,Sabah,18.8,Keningau,5979,4502,3478
2022-01-01,0.35908,Perak,9.2,Muallim,6122,5015,4374
2022-01-01,0.35851,Kedah,11.4,Kulim,5636,4498,3647
2022-01-01,0.3585,Johor,3.7,Johor Bahru,9869,8232,6139
2022-01-01,0.35771,Perak,3.8,Kinta,6308,5037,4383
2022-01-01,0.35685,Pulau Pinang,1.4,Barat Daya,9254,7247,6003
2022-01-01,0.3543,Negeri Sembilan,3.0,Seremban,7900,6384,5225
2022-01-01,0.35367,Johor,7.2,Kluang,6461,5204,4399
2022-01-01,0.35358,Perak,3.8,Manjung,6318,5135,3912
2022-01-01,0.35239,Sarawak,13.1,Lundu,4935,3692,3161
2022-01-01,0.35178,Sabah,25.4,Kunak,5838,4480,2755
2022-01-01,0.35162,Sarawak,14.8,Lubok Antu,4129,3548,3178
2022-01-01,0.351,Sarawak,14.6,Limbang,5148,4023,3184
2022-01-01,0.35061,Sabah,12.9,Putatan,7110,5699,4047
2022-01-01,0.35032,Kelantan,11.3,Jeli,3735,2906,2746
2022-01-01,0.34971,Pulau Pinang,3.7,Seberang Perai Utara,7330,6103,4432
2022-01-01,0.34864,Kedah,7.3,Pendang,4986,3801,3562
2022-01-01,0.34795,Kedah,5.1,Kota Setar,5959,4751,4253
2022-01-01,0.34719,Negeri Sembilan,7.3,Tampin,5097,4012,3750
2022-01-01,0.34681,Sabah,50.8,Tongod,4019,2856,2445
2022-01-01,0.34659,Sabah,17.7,Sandakan,6030,4828,3315
2022-01-01,0.34658,Selangor,2.2,Klang,10278,8203,6622
2022-01-01,0.34655,Kedah,14.4,Baling,4263,3400,2732
2022-01-01,0.34646,Selangor,2.8,Kuala Selangor,9410,7644,5543
2022-01-01,0.34594,Negeri Sembilan,6.8,Kuala Pilah,4509,3471,3567
2022-01-01,0.34489,Sarawak,14.6,Serian,4988,4074,3515
2022-01-01,0.34453,Negeri Sembilan,4.9,Port Dickson,6054,4805,4500
2022-01-01,0.34352,Negeri Sembilan,3.0,Rembau,5544,4655,3897
2022-01-01,0.34335,Johor,5.0,Kota Tinggi,7529,6227,4498
2022-01-01,0.34311,Melaka,4.8,Alor Gajah,7235,5611,5338
2022-01-01,0.34218,Sarawak,6.3,Miri,7932,6449,4333
2022-01-01,0.34139,Sabah,28.0,Semporna,5098,4093,2466
2022-01-01,0.34086,Sarawak,4.7,Subis,6390,5194,2756
2022-01-01,0.34067,Sabah,16.2,Papar,5980,4871,3494
2022-01-01,0.33996,Johor,7.4,Segamat,6578,5318,4426
2022-01-01,0.33877,Johor,12.7,Mersing,5426,4445,4032
2022-01-01,0.3383,Johor,5.1,Batu Pahat,7419,6347,4570
2022-01-01,0.33769,Sabah,19.8,Beaufort,4902,4018,3141
2022-01-01,0.3373,Sabah,9.0,Tambunan,5113,4055,3278
2022-01-01,0.33673,Johor,0.4,Kulai,9177,7460,5646
2022-01-01,0.33645,Sabah,15.8,Tenom,5217,4045,3267
2022-01-01,0.33589,Perlis,4.0,Perlis,5664,4713,3834
2022-01-01,0.33376,Sarawak,20.7,Tanjung Manis,4017,3300,2899
2022-01-01,0.33313,Kedah,4.0,Sik,5053,3703,3530
2022-01-01,0.33157,Melaka,5.5,Jasin,7145,5895,5005
2022-01-01,0.33117,Negeri Sembilan,8.0,Jempol,4848,3830,3608
2022-01-01,0.33019,Terengganu,12.7,Besut,6285,4743,4191
2022-01-01,0.32997,Sabah,6.7,Penampang,7491,6265,4194
2022-01-01,0.3296,Sarawak,19.5,Belaga,4239,3587,2224
2022-01-01,0.32902,Pahang,12.0,Rompin,5103,4148,3695
2022-01-01,0.32633,Selangor,0.5,Ulu Langat,13386,11210,6289
2022-01-01,0.32552,Negeri Sembilan,7.3,Jelebu,4445,3636,3457
2022-01-01,0.32483,Kedah,3.3,Kubang Pasu,6221,5201,4062
2022-01-01,0.32464,Terengganu,9.0,Marang,6357,5291,4675
2022-01-01,0.32422,Sarawak,7.9,Samarahan,7123,5953,4475
2022-01-01,0.32354,Sabah,17.6,Kuala Penyu,4311,3487,2777
2022-01-01,0.32346,Kedah,8.9,Padang Terap,4858,3902,3751
2022-01-01,0.32162,Sarawak,15.8,Song,3477,2926,2841
2022-01-01,0.32091,Selangor,5.3,Sabak Bernam,6930,5533,5128
2022-01-01,0.32068,Sabah,20.8,Telupid,4819,3953,2538
2022-01-01,0.31769,Sarawak,3.5,Bintulu,9645,8567,4990
2022-01-01,0.31471,Sarawak,11.1,Dalat,4841,4057,3044
2022-01-01,0.3136,Sarawak,8.6,Kabong,4002,3500,3215
2022-01-01,0.31353,Sarawak,17.9,Simunjan,3917,3196,2874
2022-01-01,0.31229,Sarawak,17.6,Pakan,3936,3546,3076
2022-01-01,0.31153,Sarawak,26.9,Tebedu,3218,2579,2397
2022-01-01,0.31094,Sabah,27.1,Nabawan,5016,4110,3228
2022-01-01,0.31077,Sarawak,6.0,Telang Usan,4692,3870,2578
2022-01-01,0.31026,Kedah,7.2,Pokok Sena,5494,4668,4033
2022-01-01,0.30756,Terengganu,2.2,Dungun,7902,6356,5215
2022-01-01,0.30639,Pahang,4.1,Kuantan,6938,5926,4724
2022-01-01,0.3056,Perak,4.7,Kampar,5087,4347,3276
2022-01-01,0.30527,Sarawak,9.8,Betong,4422,3685,2849
2022-01-01,0.30347,Sarawak,4.8,Sebauh,5120,4428,2660
2022-01-01,0.30337,Sarawak,5.9,Tatau,5617,4787,3066
2022-01-01,0.30294,Pahang,11.6,Pekan,4780,4053,3429
2022-01-01,0.30215,Kedah,5.7,Langkawi,6087,5250,3680
2022-01-01,0.30156,Sarawak,13.7,Beluru,4873,4164,2386
2022-01-01,0.30135,Sarawak,17.9,Asajaya,4557,3929,3039
2022-01-01,0.30028,W.P. Labuan,2.5,W.P. Labuan,8250,6904,4176
2022-01-01,0.29973,Terengganu,5.9,Kuala Terengganu,7109,5872,4881
2022-01-01,0.29903,Perak,5.3,Selama,4439,3673,3150
2022-01-01,0.29711,Sarawak,8.2,Bukit Mabong,3509,2948,2853
2022-01-01,0.29704,Selangor,1.7,Ulu Selangor,8779,7678,4604
2022-01-01,0.2934,Terengganu,10.8,Hulu Terengganu,5821,5090,4332
2022-01-01,0.29146,Kedah,3.9,Bandar Baharu,4565,3922,2751
2022-01-01,0.29118,Kedah,6.0,Yan,4637,4080,3339
2022-01-01,0.29052,Pahang,6.6,Temerloh,5180,4283,3580
2022-01-01,0.28984,Pahang,8.6,Jerantut,4537,3781,3326
2022-01-01,0.28976,Sarawak,7.4,Saratok,4621,3763,2974
2022-01-01,0.28798,Pahang,8.8,Maran,5036,4319,3586
2022-01-01,0.2799,Pahang,9.2,Lipis,4959,4115,4016
2022-01-01,0.27733,Selangor,0.3,Kuala Langat,11048,10093,5621
2022-01-01,0.27489,Terengganu,7.5,Setiu,6030,5211,4017
2022-01-01,0.27252,Terengganu,1.9,Kuala Nerus,7983,6800,5224
2022-01-01,0.27195,Pahang,1.9,Cameron Highlands,6265,5221,4229
2022-01-01,0.25701,Pahang,2.3,Raub,5445,4375,4247
2022-01-01,0.25588,Pahang,8.5,Bera,4567,3866,3453
2022-01-01,0.24416,Pahang,2.8,Bentong,5563,4691,4386
2022-01-01,0.22915,Selangor,0.0,Sepang,13673,12608,6976
2022-01-01,0.22517,Sarawak,17.2,Pusa,3395,3124,2389
