date,division,inflation_mom,inflation_yoy
2018-02-01,overall,0.2,
2018-02-01,05,-0.1,
2018-02-01,09,0.2,
2018-02-01,02,,
2018-02-01,01,0.2,
2018-02-01,11,0.1,
2018-02-01,04,0.7,
2018-02-01,13,-0.3,
2018-02-01,03,-0.2,
2018-02-01,07,-0.3,
2018-02-01,10,0.1,
2018-02-01,08,-0.1,
2018-02-01,06,0.1,
2018-02-01,12,0.1,
2018-03-01,06,0.1,
2018-03-01,13,0.2,
2018-03-01,11,0.3,
2018-03-01,07,-1.2,
2018-03-01,01,0.2,
2018-03-01,05,0.1,
2018-03-01,12,0.0,
2018-03-01,09,0.0,
2018-03-01,overall,0.0,
2018-03-01,10,0.1,
2018-03-01,02,,
2018-03-01,03,-0.1,
2018-03-01,08,-0.1,
2018-03-01,04,0.0,
2018-04-01,12,0.0,
2018-04-01,10,0.1,
2018-04-01,03,0.1,
2018-04-01,04,0.0,
2018-04-01,11,0.4,
2018-04-01,02,,
2018-04-01,09,0.1,
2018-04-01,01,0.2,
2018-04-01,13,0.1,
2018-04-01,06,0.2,
2018-04-01,05,0.1,
2018-04-01,overall,0.1,
2018-04-01,08,-0.1,
2018-04-01,07,0.0,
2018-05-01,12,0.0,
2018-05-01,05,0.0,
2018-05-01,08,-0.2,
2018-05-01,13,0.1,
2018-05-01,09,-0.1,
2018-05-01,02,,
2018-05-01,07,-0.2,
2018-05-01,04,0.7,
2018-05-01,11,0.1,
2018-05-01,03,-0.1,
2018-05-01,10,0.1,
2018-05-01,overall,0.2,
2018-05-01,06,0.0,
2018-05-01,01,0.2,
2018-06-01,11,-0.8,
2018-06-01,13,-3.1,
2018-06-01,12,-2.6,
2018-06-01,05,-2.4,
2018-06-01,09,-2.9,
2018-06-01,02,,
2018-06-01,04,-0.1,
2018-06-01,03,-2.6,
2018-06-01,10,-0.2,
2018-06-01,overall,-1.4,
2018-06-01,01,-1.6,
2018-06-01,07,-0.8,
2018-06-01,08,-3.0,
2018-06-01,06,-1.4,
2018-07-01,overall,0.0,
2018-07-01,11,0.0,
2018-07-01,12,0.0,
2018-07-01,13,-0.1,
2018-07-01,09,0.2,
2018-07-01,05,0.0,
2018-07-01,03,-0.1,
2018-07-01,10,0.1,
2018-07-01,01,0.1,
2018-07-01,07,0.0,
2018-07-01,04,0.0,
2018-07-01,02,,
2018-07-01,08,0.0,
2018-07-01,06,0.0,
2018-08-01,05,0.1,
2018-08-01,06,0.1,
2018-08-01,13,-0.2,
2018-08-01,01,0.2,
2018-08-01,02,,
2018-08-01,11,0.2,
2018-08-01,03,0.0,
2018-08-01,overall,0.3,
2018-08-01,12,0.0,
2018-08-01,09,0.1,
2018-08-01,10,0.1,
2018-08-01,04,0.7,
2018-08-01,07,0.1,
2018-08-01,08,-0.1,
2018-09-01,03,-0.1,
2018-09-01,12,0.4,
2018-09-01,06,0.0,
2018-09-01,09,2.1,
2018-09-01,04,0.0,
2018-09-01,05,1.0,
2018-09-01,overall,0.6,
2018-09-01,13,0.2,
2018-09-01,02,,
2018-09-01,07,0.3,
2018-09-01,08,2.3,
2018-09-01,11,0.5,
2018-09-01,01,0.8,
2018-09-01,10,0.0,
2018-10-01,07,0.3,
2018-10-01,09,0.1,
2018-10-01,11,0.2,
2018-10-01,05,0.4,
2018-10-01,03,0.0,
2018-10-01,13,0.3,
2018-10-01,overall,0.2,
2018-10-01,01,0.3,
2018-10-01,04,0.0,
2018-10-01,10,0.0,
2018-10-01,02,,
2018-10-01,12,0.5,
2018-10-01,06,0.0,
2018-10-01,08,0.0,
2018-11-01,03,-0.1,
2018-11-01,06,0.2,
2018-11-01,11,0.2,
2018-11-01,12,0.0,
2018-11-01,overall,0.3,
2018-11-01,09,0.0,
2018-11-01,13,0.2,
2018-11-01,08,0.0,
2018-11-01,02,,
2018-11-01,10,0.3,
2018-11-01,04,0.3,
2018-11-01,07,0.1,
2018-11-01,01,0.5,
2018-11-01,05,0.3,
2018-12-01,12,0.0,
2018-12-01,10,-0.1,
2018-12-01,01,0.1,
2018-12-01,04,0.0,
2018-12-01,03,-0.2,
2018-12-01,06,0.0,
2018-12-01,08,0.0,
2018-12-01,11,0.2,
2018-12-01,02,,
2018-12-01,07,-0.4,
2018-12-01,09,0.1,
2018-12-01,13,0.0,
2018-12-01,overall,0.0,
2018-12-01,05,0.2,
2019-01-01,04,0.0,2.3
2019-01-01,02,,
2019-01-01,08,-0.1,-1.4
2019-01-01,09,-0.1,-0.4
2019-01-01,overall,-0.1,0.2
2019-01-01,01,0.5,1.6
2019-01-01,06,0.2,-0.5
2019-01-01,07,-5.4,-7.6
2019-01-01,12,0.1,-1.5
2019-01-01,11,0.0,1.2
2019-01-01,03,0.1,-3.3
2019-01-01,05,0.2,-0.3
2019-01-01,10,0.4,0.9
2019-01-01,13,0.4,-2.4
2019-02-01,05,0.3,0.1
2019-02-01,04,0.6,2.3
2019-02-01,08,0.1,-1.2
2019-02-01,02,,
2019-02-01,overall,0.3,0.3
2019-02-01,07,0.5,-6.8
2019-02-01,06,0.2,-0.4
2019-02-01,09,0.2,-0.4
2019-02-01,13,-0.1,-2.2
2019-02-01,01,0.3,1.7
2019-02-01,11,0.2,1.3
2019-02-01,12,0.0,-1.6
2019-02-01,03,-0.1,-3.2
2019-02-01,10,0.4,1.3
2019-03-01,01,0.2,1.7
2019-03-01,overall,0.3,0.5
2019-03-01,06,0.2,-0.2
2019-03-01,08,0.0,-1.1
2019-03-01,10,0.1,1.3
2019-03-01,11,0.0,1.0
2019-03-01,05,0.3,0.3
2019-03-01,04,0.0,2.3
2019-03-01,03,0.1,-3.0
2019-03-01,12,0.0,-1.6
2019-03-01,02,,
2019-03-01,09,-0.1,-0.4
2019-03-01,07,2.6,-3.2
2019-03-01,13,0.4,-2.0
2019-04-01,02,,
2019-04-01,06,0.2,-0.3
2019-04-01,10,0.0,1.2
2019-04-01,03,-0.1,-3.2
2019-04-01,12,0.0,-1.6
2019-04-01,04,0.0,2.3
2019-04-01,07,0.5,-2.7
2019-04-01,overall,0.1,0.5
2019-04-01,08,-0.1,-1.1
2019-04-01,09,0.1,-0.4
2019-04-01,13,0.1,-2.0
2019-04-01,05,0.0,0.2
2019-04-01,01,0.1,1.6
2019-04-01,11,0.2,0.8
2019-05-01,05,0.3,0.5
2019-05-01,overall,0.1,0.4
2019-05-01,10,0.1,1.2
2019-05-01,13,0.0,-2.1
2019-05-01,01,0.1,1.5
2019-05-01,11,-0.2,0.6
2019-05-01,07,0.1,-2.5
2019-05-01,12,0.0,-1.6
2019-05-01,03,-0.1,-3.2
2019-05-01,08,0.0,-0.9
2019-05-01,04,0.3,2.0
2019-05-01,02,,
2019-05-01,06,0.0,-0.3
2019-05-01,09,-0.1,-0.4
2019-06-01,03,-0.1,-0.7
2019-06-01,08,0.0,2.1
2019-06-01,11,0.2,1.6
2019-06-01,04,0.0,2.0
2019-06-01,01,-0.1,3.0
2019-06-01,05,0.1,3.1
2019-06-01,09,0.1,2.7
2019-06-01,10,0.0,1.4
2019-06-01,02,,
2019-06-01,12,0.0,1.0
2019-06-01,06,0.2,1.2
2019-06-01,overall,0.0,1.9
2019-06-01,07,-0.3,-2.0
2019-06-01,13,0.3,1.4
2019-07-01,12,0.0,1.0
2019-07-01,08,0.0,2.1
2019-07-01,11,0.1,1.7
2019-07-01,07,0.1,-1.9
2019-07-01,02,,
2019-07-01,06,0.1,1.3
2019-07-01,01,0.2,3.1
2019-07-01,04,0.1,2.1
2019-07-01,10,0.1,1.4
2019-07-01,09,-0.1,2.4
2019-07-01,13,0.4,1.8
2019-07-01,03,-0.4,-1.1
2019-07-01,05,0.2,3.3
2019-07-01,overall,0.1,2.0
2019-08-01,04,0.6,1.9
2019-08-01,12,0.0,1.0
2019-08-01,13,0.5,2.5
2019-08-01,09,0.0,2.3
2019-08-01,06,0.2,1.4
2019-08-01,05,0.0,3.2
2019-08-01,08,0.0,2.2
2019-08-01,03,0.0,-1.1
2019-08-01,07,-0.1,-2.1
2019-08-01,overall,0.3,2.0
2019-08-01,11,0.2,1.7
2019-08-01,01,0.2,3.1
2019-08-01,02,,
2019-08-01,10,0.1,1.4
2019-09-01,04,0.0,1.9
2019-09-01,07,0.1,-2.2
2019-09-01,11,0.2,1.5
2019-09-01,02,,
2019-09-01,03,0.0,-0.9
2019-09-01,09,0.6,0.8
2019-09-01,10,0.4,1.8
2019-09-01,01,0.1,2.4
2019-09-01,05,-0.1,2.1
2019-09-01,08,0.0,-0.1
2019-09-01,12,0.0,0.6
2019-09-01,overall,0.2,1.5
2019-09-01,06,-0.1,1.3
2019-09-01,13,0.4,2.7
2019-10-01,09,0.0,0.7
2019-10-01,07,0.2,-2.3
2019-10-01,01,0.1,2.1
2019-10-01,05,0.0,1.7
2019-10-01,06,0.1,1.4
2019-10-01,03,-0.3,-1.3
2019-10-01,04,0.1,2.0
2019-10-01,overall,0.1,1.4
2019-10-01,02,,
2019-10-01,12,0.0,0.1
2019-10-01,08,1.5,1.4
2019-10-01,11,-0.1,1.2
2019-10-01,10,0.1,1.9
2019-10-01,13,-0.2,2.2
2019-11-01,01,0.2,1.8
2019-11-01,03,0.1,-1.1
2019-11-01,02,,
2019-11-01,07,0.0,-2.4
2019-11-01,10,0.0,1.6
2019-11-01,08,0.1,1.5
2019-11-01,overall,0.3,1.4
2019-11-01,13,0.4,2.5
2019-11-01,11,0.1,1.1
2019-11-01,12,0.0,0.1
2019-11-01,09,0.1,0.8
2019-11-01,04,0.4,2.1
2019-11-01,05,0.1,1.5
2019-11-01,06,0.2,1.4
2019-12-01,10,0.0,1.7
2019-12-01,07,0.1,-1.9
2019-12-01,13,-0.1,2.4
2019-12-01,02,,
2019-12-01,06,0.0,1.4
2019-12-01,09,-0.2,0.5
2019-12-01,04,0.0,2.1
2019-12-01,01,0.1,1.8
2019-12-01,05,0.1,1.4
2019-12-01,11,0.2,1.1
2019-12-01,overall,0.0,1.4
2019-12-01,08,0.0,1.5
2019-12-01,03,-0.1,-1.0
2019-12-01,12,-0.1,0.0
2020-01-01,10,0.4,1.7
2020-01-01,overall,0.1,1.6
2020-01-01,05,0.0,1.2
2020-01-01,01,0.2,1.4
2020-01-01,12,0.0,-0.1
2020-01-01,09,0.3,0.9
2020-01-01,07,-2.3,1.4
2020-01-01,06,0.2,1.4
2020-01-01,02,,
2020-01-01,04,0.1,2.2
2020-01-01,03,-0.1,-1.2
2020-01-01,08,0.0,1.6
2020-01-01,13,0.4,2.5
2020-01-01,11,0.1,1.1
2020-02-01,06,0.1,1.3
2020-02-01,02,,
2020-02-01,11,0.2,1.1
2020-02-01,04,0.4,1.9
2020-02-01,09,0.0,0.7
2020-02-01,08,0.0,1.5
2020-02-01,overall,-0.1,1.3
2020-02-01,05,0.1,1.0
2020-02-01,13,-0.1,2.5
2020-02-01,03,0.0,-1.1
2020-02-01,12,0.0,-0.1
2020-02-01,10,0.1,1.3
2020-02-01,07,-0.7,0.2
2020-02-01,01,0.2,1.2
2020-03-01,02,,
2020-03-01,10,0.0,1.3
2020-03-01,03,-0.1,-1.3
2020-03-01,08,0.0,1.5
2020-03-01,05,0.0,0.8
2020-03-01,09,-0.1,0.7
2020-03-01,04,0.0,1.9
2020-03-01,07,2.7,0.3
2020-03-01,overall,0.2,1.3
2020-03-01,12,0.1,0.0
2020-03-01,13,0.4,2.6
2020-03-01,01,0.2,1.2
2020-03-01,06,0.3,1.4
2020-03-01,11,-0.2,0.9
2020-04-01,07,0.4,0.2
2020-04-01,13,-0.2,2.3
2020-04-01,12,0.0,0.0
2020-04-01,03,0.0,-1.2
2020-04-01,09,0.0,0.6
2020-04-01,06,0.0,1.2
2020-04-01,08,0.0,1.6
2020-04-01,01,-0.1,1.1
2020-04-01,04,0.0,1.9
2020-04-01,05,-0.4,0.3
2020-04-01,10,-0.1,1.2
2020-04-01,overall,0.1,1.3
2020-04-01,02,,
2020-04-01,11,0.0,0.7
2020-05-01,12,0.0,0.0
2020-05-01,overall,-0.1,1.1
2020-05-01,09,0.0,0.7
2020-05-01,10,-0.1,1.0
2020-05-01,08,0.0,1.6
2020-05-01,03,0.0,-1.1
2020-05-01,04,-0.2,1.4
2020-05-01,02,,
2020-05-01,05,-0.2,-0.2
2020-05-01,06,0.0,1.2
2020-05-01,11,0.2,1.0
2020-05-01,13,0.5,2.8
2020-05-01,01,0.1,1.1
2020-05-01,07,0.1,0.2
2020-06-01,05,0.1,-0.2
2020-06-01,10,-0.2,0.8
2020-06-01,06,0.1,1.1
2020-06-01,12,0.0,0.0
2020-06-01,08,0.0,1.6
2020-06-01,01,0.2,1.3
2020-06-01,11,-0.4,0.4
2020-06-01,04,0.0,1.4
2020-06-01,13,0.4,3.0
2020-06-01,07,-0.6,-0.2
2020-06-01,03,-0.1,-1.1
2020-06-01,overall,0.1,1.2
2020-06-01,02,,
2020-06-01,09,0.0,0.6
2020-07-01,01,0.1,1.2
2020-07-01,07,0.1,-0.2
2020-07-01,12,0.0,0.0
2020-07-01,03,0.0,-0.6
2020-07-01,02,,
2020-07-01,05,0.3,-0.1
2020-07-01,06,0.1,1.1
2020-07-01,11,-0.2,0.2
2020-07-01,08,0.0,1.6
2020-07-01,10,0.4,1.2
2020-07-01,overall,0.0,1.1
2020-07-01,09,0.0,0.7
2020-07-01,04,0.0,1.4
2020-07-01,13,0.3,2.9
2020-08-01,07,0.2,0.1
2020-08-01,02,,
2020-08-01,06,0.1,1.1
2020-08-01,overall,0.2,1.1
2020-08-01,12,0.0,0.0
2020-08-01,10,0.0,1.1
2020-08-01,01,0.3,1.4
2020-08-01,05,0.0,-0.1
2020-08-01,09,-0.1,0.6
2020-08-01,11,0.1,0.1
2020-08-01,03,0.0,-0.6
2020-08-01,13,0.7,3.1
2020-08-01,08,0.0,1.6
2020-08-01,04,0.2,1.0
2020-09-01,03,0.0,-0.6
2020-09-01,04,0.0,1.0
2020-09-01,12,0.0,0.0
2020-09-01,13,0.0,2.7
2020-09-01,10,0.1,0.7
2020-09-01,07,-0.1,-0.1
2020-09-01,05,0.1,0.1
2020-09-01,09,0.1,0.1
2020-09-01,01,0.1,1.4
2020-09-01,11,0.2,0.0
2020-09-01,overall,0.1,1.0
2020-09-01,06,0.0,1.1
2020-09-01,08,0.0,1.6
2020-09-01,02,,
2020-10-01,07,0.1,-0.2
2020-10-01,06,0.1,1.1
2020-10-01,12,0.0,0.0
2020-10-01,01,0.0,1.3
2020-10-01,04,0.0,0.9
2020-10-01,03,-0.1,-0.4
2020-10-01,13,-0.1,2.8
2020-10-01,05,0.0,0.1
2020-10-01,10,0.0,0.7
2020-10-01,02,,
2020-10-01,11,0.0,0.1
2020-10-01,08,0.0,0.1
2020-10-01,overall,-0.1,0.8
2020-10-01,09,0.1,0.2
2020-11-01,03,0.0,-0.5
2020-11-01,07,0.0,-0.2
2020-11-01,02,,
2020-11-01,11,0.0,0.0
2020-11-01,08,0.0,0.0
2020-11-01,overall,0.1,0.7
2020-11-01,05,-0.1,-0.1
2020-11-01,01,0.1,1.2
2020-11-01,13,-0.1,2.3
2020-11-01,12,0.0,0.0
2020-11-01,04,0.1,0.6
2020-11-01,06,0.0,1.0
2020-11-01,10,-0.1,0.6
2020-11-01,09,0.0,0.1
2020-12-01,09,0.0,0.3
2020-12-01,06,0.0,1.0
2020-12-01,12,0.0,0.1
2020-12-01,02,,
2020-12-01,03,0.0,-0.4
2020-12-01,04,0.0,0.6
2020-12-01,05,0.1,-0.1
2020-12-01,01,0.1,1.2
2020-12-01,10,0.0,0.6
2020-12-01,08,0.0,0.0
2020-12-01,11,0.0,-0.2
2020-12-01,07,0.0,-0.3
2020-12-01,13,-0.2,2.2
2020-12-01,overall,0.0,0.7
2021-01-01,06,0.0,0.7
2021-01-01,03,-0.1,-0.4
2021-01-01,08,0.0,0.0
2021-01-01,10,0.0,0.2
2021-01-01,09,0.1,0.1
2021-01-01,02,,
2021-01-01,12,0.0,0.1
2021-01-01,overall,0.1,0.7
2021-01-01,04,0.0,0.5
2021-01-01,01,0.2,1.2
2021-01-01,13,0.1,1.8
2021-01-01,07,-2.6,-0.6
2021-01-01,11,0.2,-0.1
2021-01-01,05,0.3,0.2
2021-02-01,05,0.2,0.3
2021-02-01,overall,0.0,0.7
2021-02-01,10,0.0,0.1
2021-02-01,09,0.0,0.1
2021-02-01,03,0.0,-0.4
2021-02-01,08,0.0,0.0
2021-02-01,06,0.1,0.7
2021-02-01,11,-0.1,-0.3
2021-02-01,07,0.3,0.5
2021-02-01,12,0.0,0.1
2021-02-01,04,0.3,0.4
2021-02-01,01,0.1,1.1
2021-02-01,13,-0.3,1.6
2021-02-01,02,,
2021-03-01,02,,
2021-03-01,08,0.0,0.0
2021-03-01,07,2.9,0.6
2021-03-01,04,0.0,0.4
2021-03-01,13,-0.2,1.0
2021-03-01,11,0.1,0.0
2021-03-01,05,0.6,0.9
2021-03-01,06,0.1,0.5
2021-03-01,09,0.4,0.5
2021-03-01,overall,0.2,0.7
2021-03-01,03,0.0,-0.3
2021-03-01,01,0.2,1.1
2021-03-01,10,-0.1,0.0
2021-03-01,12,0.0,0.0
2021-04-01,12,0.0,0.0
2021-04-01,08,0.0,0.0
2021-04-01,01,0.1,1.3
2021-04-01,02,,
2021-04-01,03,-0.1,-0.4
2021-04-01,06,0.0,0.5
2021-04-01,07,0.4,0.6
2021-04-01,13,0.1,1.2
2021-04-01,04,0.0,0.4
2021-04-01,05,0.3,1.6
2021-04-01,09,0.2,0.7
2021-04-01,overall,0.1,0.7
2021-04-01,11,0.2,0.2
2021-04-01,10,0.2,0.2
2021-05-01,01,0.1,1.3
2021-05-01,09,-0.1,0.6
2021-05-01,13,0.0,0.7
2021-05-01,12,0.0,0.0
2021-05-01,03,-0.1,-0.5
2021-05-01,11,0.1,0.1
2021-05-01,04,0.1,0.6
2021-05-01,06,0.1,0.6
2021-05-01,08,0.0,0.0
2021-05-01,overall,0.1,0.8
2021-05-01,10,0.0,0.3
2021-05-01,07,0.3,0.8
2021-05-01,05,0.3,2.1
2021-05-01,02,,
2021-06-01,06,0.0,0.5
2021-06-01,overall,0.0,0.7
2021-06-01,07,-0.5,1.0
2021-06-01,11,0.0,0.5
2021-06-01,01,0.1,1.2
2021-06-01,09,0.0,0.6
2021-06-01,08,0.0,0.0
2021-06-01,13,0.1,0.3
2021-06-01,02,,
2021-06-01,03,0.0,-0.4
2021-06-01,12,0.0,0.0
2021-06-01,04,0.0,0.6
2021-06-01,05,0.0,2.0
2021-06-01,10,0.0,0.5
2021-07-01,01,0.0,1.1
2021-07-01,12,0.0,0.0
2021-07-01,06,0.0,0.4
2021-07-01,overall,-0.1,0.7
2021-07-01,04,0.0,0.6
2021-07-01,09,0.0,0.6
2021-07-01,03,0.0,-0.4
2021-07-01,02,,
2021-07-01,13,0.0,0.1
2021-07-01,07,0.1,1.0
2021-07-01,05,0.0,1.7
2021-07-01,10,0.0,0.1
2021-07-01,11,0.1,0.7
2021-07-01,08,0.0,0.0
2021-08-01,13,0.0,-0.6
2021-08-01,03,0.0,-0.4
2021-08-01,02,,
2021-08-01,01,0.1,0.9
2021-08-01,05,0.0,1.7
2021-08-01,11,0.0,0.6
2021-08-01,08,0.0,0.0
2021-08-01,07,-0.1,0.7
2021-08-01,06,0.0,0.3
2021-08-01,04,0.1,0.6
2021-08-01,09,0.0,0.7
2021-08-01,overall,0.2,0.6
2021-08-01,10,-0.1,0.0
2021-08-01,12,0.0,0.0
2021-09-01,05,0.1,1.7
2021-09-01,10,0.0,-0.1
2021-09-01,02,,
2021-09-01,08,0.0,0.0
2021-09-01,06,0.0,0.3
2021-09-01,12,0.0,0.0
2021-09-01,11,-0.2,0.3
2021-09-01,overall,0.1,0.6
2021-09-01,03,-0.1,-0.5
2021-09-01,01,0.2,1.0
2021-09-01,07,0.1,0.9
2021-09-01,04,0.1,0.6
2021-09-01,09,0.0,0.6
2021-09-01,13,0.1,-0.5
2021-10-01,12,0.0,0.0
2021-10-01,08,0.0,0.0
2021-10-01,03,0.0,-0.4
2021-10-01,07,0.3,1.1
2021-10-01,04,0.0,0.6
2021-10-01,09,-0.4,0.2
2021-10-01,02,,
2021-10-01,11,0.3,0.6
2021-10-01,13,0.3,-0.2
2021-10-01,01,0.2,1.2
2021-10-01,05,0.4,2.1
2021-10-01,10,0.0,-0.1
2021-10-01,overall,0.0,0.7
2021-10-01,06,0.0,0.2
2021-11-01,11,0.3,0.9
2021-11-01,07,-0.4,0.7
2021-11-01,03,-0.1,-0.5
2021-11-01,06,0.0,0.2
2021-11-01,09,0.0,0.2
2021-11-01,02,,
2021-11-01,08,0.0,0.0
2021-11-01,05,0.3,2.6
2021-11-01,13,0.2,0.1
2021-11-01,12,0.0,0.0
2021-11-01,overall,0.3,0.9
2021-11-01,04,0.2,0.8
2021-11-01,10,0.1,0.1
2021-11-01,01,0.4,1.6
2021-12-01,overall,0.2,1.1
2021-12-01,02,,
2021-12-01,11,0.4,1.3
2021-12-01,03,0.1,-0.4
2021-12-01,06,0.0,0.2
2021-12-01,07,1.2,1.9
2021-12-01,01,0.6,2.1
2021-12-01,08,0.0,0.0
2021-12-01,12,0.0,0.0
2021-12-01,04,0.1,0.9
2021-12-01,10,0.1,0.2
2021-12-01,05,0.3,2.7
2021-12-01,13,0.2,0.4
2021-12-01,09,0.3,0.4
2022-01-01,13,0.3,0.6
2022-01-01,03,0.0,-0.3
2022-01-01,09,0.8,1.2
2022-01-01,12,0.0,0.0
2022-01-01,02,,
2022-01-01,11,1.0,2.1
2022-01-01,overall,0.6,1.6
2022-01-01,07,-1.3,3.3
2022-01-01,01,0.8,2.8
2022-01-01,04,0.0,0.9
2022-01-01,10,0.5,0.7
2022-01-01,05,0.6,3.1
2022-01-01,06,0.1,0.3
2022-01-01,08,0.0,0.0
2022-02-01,overall,0.2,1.8
2022-02-01,13,0.2,1.1
2022-02-01,02,,
2022-02-01,01,0.4,3.2
2022-02-01,10,0.1,0.7
2022-02-01,09,0.4,1.6
2022-02-01,04,0.4,0.9
